floors,waterfront,lat,bedrooms,view,bathrooms,sqm_living15,mean_price_zip,grade,sqm_living,price,renovated
1.5,no,47.6827,3,0,2.5,147.71577,624118.4778761062,8,213.6769,696e3,yes
1,no,47.6621,4,0,1,200.67048,659656.5158730159,5,154.21898,55e4,no
2,no,47.6702,4,0,2,160.72219,550494.7272727273,8,219.25108,64e4,no
1,no,47.3341,4,0,1,119.84487,260301.53333333333,7,113.34166,24e4,no
2,no,47.5301,4,0,2.5,243.40586,397054.58695652173,8,243.40586,605e3,no
2,no,47.6145,4,0,2.5,229.47041,697143.3921568628,9,238.76071,625e3,no
1,no,47.445,4,0,2.25,223.89623,458176.52,8,392.05066,775e3,no
2,no,47.6848,5,0,2.75,336.773375,688772.3037974683,9,333.986285,861990,no
2,no,47.6413,3,0,1,146.78674,814704.575,7,145.85771,685e3,no
1,no,47.4485,3,0,1,124.49002,381094.8823529412,6,118.91584,309e3,no
2,no,47.7443,3,0,2.5,283.35415,393761.35135135136,8,293.57348,488e3,no
1,no,47.3066,3,0,1,114.084884,306381.61176470586,6,91.97397,210490,no
2,no,47.6194,4,0,2.5,248.98004,623492.8571428572,9,212.74787,785e3,no
1,no,47.6796,3,0,1.75,90.11591,624118.4778761062,7,116.12875,45e4,no
1,yes,47.4041,3,2,2.5,248.98004,420002.0588235294,9,255.761959,135e4,no
1,no,47.4258,3,0,1,110.55457,260326.66666666666,7,110.55457,228e3,no
1,no,47.4934,5,0,2.5,184.87697,397054.58695652173,8,292.64445,345e3,no
1,no,47.6808,3,0,1.75,130.99323,591939.4716981133,7,130.99323,6e5,no
1,no,47.6989,2,0,1.75,137.49644,591939.4716981133,7,183.94794,585e3,no
1.5,no,47.6571,5,0,2.25,253.62519,878821.4772727273,8,253.62519,92e4,no
2,no,47.6597,4,0,2.5,181.16085,878821.4772727273,9,262.91549,885e3,no
2,no,47.3663,4,0,2.5,209.03175,297059.9894736842,7,209.03175,292500,no
2,no,47.3663,3,0,2.5,249.90906999999999,297059.9894736842,8,224.82526,301e3,no
2,no,47.588,5,4,3.25,274.99288,646878.3333333334,8,301.93475,951e3,no
2,no,47.5059,4,0,3,210.88981,462353.45,8,171.87055,43e4,no
1,no,47.4336,3,3,2.25,238.76071,458176.52,8,199.74145,65e4,no
1,no,47.4366,3,0,1.75,119.84487,260326.66666666666,7,117.05778,289e3,no
2,no,47.4428,3,0,1.75,232.2575,458176.52,8,234.022657,505e3,no
3,no,47.6765,3,0,1.75,146.78674,624118.4778761062,8,143.07062,549e3,no
1,no,47.6113,3,0,2.25,133.78032,616381.3461538461,7,154.21898,425e3,no
1.5,no,47.5747,3,0,2.75,133.78032,661249.6142857143,7,257.34131,317625,no
2,no,47.5815,4,0,2.5,255.48325,1406411.111111111,10,252.69616,975e3,no
2,no,47.3378,4,0,2.5,206.337563,260301.53333333333,7,208.10272,287e3,no
1,no,47.3621,3,0,1,93.83203,297059.9894736842,7,92.903,204e3,no
1,no,47.6303,5,0,2.25,314.94117,1406411.111111111,8,297.2896,1325e3,no
1,no,47.6525,5,0,3.25,327.94759,845423.4871794871,11,443.14731,104e4,no
1,no,47.7362,3,0,2,152.36092,566253.814159292,7,117.05778,325e3,no
1.5,no,47.7168,4,0,2,140.28353,459288.5595238095,7,255.48325,571e3,no
2,no,47.3608,4,0,2.5,224.82526,358796.1967213115,8,221.10914,36e4,no
1,no,47.3511,3,0,1.75,180.23182,297059.9894736842,7,166.29637,349e3,no
2,no,47.5822,4,0,4,301.00572,812857.2692307692,10,318.65729,832500,no
1,no,47.6034,4,0,1.75,156.07704,646878.3333333334,7,163.50928,38e4,no
1,no,47.5636,3,0,1,82.68367,621633.3561643836,7,96.61912,48e4,no
1,no,47.7073,3,0,1,104.98039,383673.5,7,130.99323,41e4,no
2,no,47.342,4,0,2.5,311.22505,457073.5238095238,10,320.51535,72e4,no
2,no,47.3512,3,0,2.5,218.32205,358796.1967213115,8,218.32205,39e4,no
2,no,47.349,4,0,2.5,173.72861,358796.1967213115,7,176.5157,36e4,no
1,no,47.5474,2,0,1,159.79316,387908.23711340205,7,187.66406,355e3,no
1,no,47.4811,3,0,1.5,171.87055,462353.45,8,156.07704,356e3,no
1,no,47.7264,3,0,1,145.85771,459288.5595238095,6,89.18688,315e3,no
2,no,47.6337,3,0,1.5,187.66406,814704.575,9,198.81242,94e4,no
1.5,no,47.2909,5,0,2.25,147.71577,343325.1168831169,7,247.12198,305e3,no
2,no,47.5228,3,0,3.25,176.5157,397054.58695652173,9,257.34131,461e3,no
2,no,47.518,2,0,2.25,181.16085,397054.58695652173,7,149.57383,215e3,no
2,no,47.5394,2,0,1.75,95.69009,532618.6666666666,7,95.69009,335e3,no
2,no,47.2897,4,0,2.5,183.94794,306381.61176470586,7,183.94794,243500,no
2,no,47.6506,5,0,2.75,234.11556,791810.5652173914,10,327.01856,1099880,no
1,no,47.322,3,0,1,125.41905,306381.61176470586,7,111.4836,153e3,no
1,no,47.687,3,0,1.5,145.85771,591939.4716981133,8,146.78674,43e4,no
1,no,47.687,3,0,1.5,145.85771,591939.4716981133,8,146.78674,7e5,no
1,no,47.5873,4,0,2.5,181.16085,1201941.3333333333,7,306.5799,905e3,yes
1,no,47.3576,3,0,1.75,162.58025,239252.9411764706,7,182.08988,247500,no
1,no,47.3036,4,0,1.5,107.76748,306381.61176470586,7,107.76748,199e3,no
1,no,47.4109,3,0,1.75,153.28995,358796.1967213115,7,168.15443,314e3,no
2,no,47.4838,3,2,2.5,236.90265,417477.0256410256,9,215.53496,437500,no
1.5,no,47.6415,3,0,2.5,204.3866,987083.3333333334,9,192.30921,850830,no
1.5,no,47.6775,3,0,2,149.57383,591939.4716981133,7,183.94794,555e3,no
2,no,47.7731,3,0,2.25,238.76071,707649.0384615385,8,203.45757,699950,no
2,no,47.5814,3,0,2.5,220.18010999999998,1406411.111111111,8,271.27676,1088e3,yes
1,no,47.4375,3,0,1,152.36092,381094.8823529412,7,112.41263,29e4,no
1,no,47.4431,3,0,2.5,209.03175,381094.8823529412,8,217.39302,375e3,no
1.5,no,47.6878,3,0,1,115.19972,591939.4716981133,7,155.14801,46e4,no
1,no,47.3813,2,0,1.75,117.98681,321275.95238095237,8,115.19972,188500,no
2,no,47.7304,4,0,2.5,277.77997,707649.0384615385,10,291.71542,68e4,no
2,no,47.6417,5,0,1.75,232.2575,659656.5158730159,7,188.59309,47e4,no
2,no,47.5386,4,0,2.5,180.23182,599153.8571428572,8,214.60593,597750,no
1,no,47.6823,3,0,1.75,128.20614,613701.2131147541,6,117.05778,57e4,no
1,no,47.3624,3,0,1.75,143.07062,358796.1967213115,7,143.07062,272500,no
1,no,47.5474,3,2,1.75,194.16727,343002.77142857143,7,193.23824,329950,no
2,no,47.3183,4,3,2.5,245.26391999999998,260301.53333333333,9,300.07669,48e4,no
2,no,47.6981,3,0,3.5,170.01248999999999,591939.4716981133,8,406.91514,740500,yes
3,no,47.6824,3,0,3.5,150.50286,613701.2131147541,8,147.71577,518500,no
1,no,47.5009,2,0,1,110.55457,307446.02040816325,6,81.75464,205425,no
1,no,47.4965,4,0,2,174.65764,239918.6274509804,6,145.85771,171800,no
1.5,no,47.587,4,0,1,149.57383,661249.6142857143,7,149.57383,535e3,no
1,no,47.7728,3,2,2.5,217.39302,686432.509090909,8,222.9672,66e4,no
1,no,47.7288,3,0,2,146.78674,566253.814159292,7,134.70935,391500,no
1,no,47.6999,2,0,1,158.86413,591939.4716981133,6,71.53531,395e3,no
1.5,no,47.5299,4,0,1.75,171.87055,387908.23711340205,7,195.09629999999999,445e3,no
2,no,47.6897,3,0,2.25,250.8381,659656.5158730159,9,270.34773,77e4,no
1.5,no,47.6141,4,0,2.75,284.28318,1406411.111111111,8,255.48325,145e4,yes
1,no,47.5091,3,2,2.25,247.12198,307446.02040816325,8,195.09629999999999,445e3,no
1,no,47.3129,4,0,2.25,194.16727,306381.61176470586,8,200.67048,26e4,no
2,no,47.6763,5,0,3.5,157.9351,613701.2131147541,7,215.53496,822500,no
2,no,47.5319,4,0,2.5,183.01891,567274.9838709678,7,192.30921,43e4,no
1,no,47.2761,3,0,1.75,131.92226,343325.1168831169,7,98.47718,212e3,no
1,no,47.5343,4,0,2.25,191.38018,599153.8571428572,8,186.73503,660500,no
1.5,no,47.697,3,0,3.5,230.39944,659656.5158730159,9,366.96685,784e3,no
2,no,47.5517,3,0,2.5,157.00607,571317.8039215687,8,186.73503,453246,no
3,no,47.6734,4,0,3.5,143.07062,550494.7272727273,9,198.81242,675e3,no
1,no,47.3257,3,0,1.75,143.99965,292943.45454545453,7,122.63195999999999,199e3,no
1,no,47.3309,4,0,1.75,162.58025,292943.45454545453,7,187.66406,22e4,no
1,no,47.7689,4,0,2.25,143.99965,453101.8181818182,8,240.61877,452e3,no
1,no,47.7135,2,0,1,98.47718,459288.5595238095,6,110.55457,382500,no
3,no,47.6722,3,0,2.25,125.41905,550494.7272727273,8,108.69651,519950,no
1,no,47.6338,2,0,1,108.69651,814704.575,7,103.12233,665e3,no
1,no,47.5707,5,0,2.5,261.98646,823864.6043956043,8,261.98646,527700,no
1,no,47.4563,3,0,1,149.57383,381094.8823529412,7,149.57383,205e3,no
1,no,47.7144,3,0,1,144.92867999999999,383673.5,7,98.47718,42e4,no
1,no,47.5495,4,0,2.25,207.17369,823864.6043956043,8,188.59309,5e5,no
2,no,47.7421,4,0,2.5,263.84452,707649.0384615385,9,340.95401,921500,no
2,no,47.6354,4,0,1,204.3866,898288.8888888889,8,236.90265,89e4,no
2,no,47.5262,2,0,2.5,180.23182,599153.8571428572,7,224.82526,43e4,no
1,no,47.3887,5,0,2,126.34808,239252.9411764706,8,209.96078,258e3,no
1,no,47.6873,3,0,1,134.70935,613701.2131147541,7,132.85129,511e3,no
2,no,47.6838,3,0,2,139.3545,613701.2131147541,8,126.34808,532170,no
1.5,no,47.655,3,0,1,131.92226,550494.7272727273,7,103.12233,56e4,no
1,no,47.3255,3,0,1,156.07704,292943.45454545453,7,116.12875,282950,no
2,no,47.562,4,3,3.25,293.57348,823864.6043956043,12,481.23754,225e4,no
1,no,47.679,1,0,1,93.83203,624118.4778761062,7,65.0321,35e4,no
1,no,47.4479,3,0,1,110.55457,381094.8823529412,7,109.62554,215e3,no
2,no,47.525,5,0,3.5,245.26391999999998,397054.58695652173,9,367.89588,65e4,no
1,no,47.3135,4,0,2.75,183.94794,306381.61176470586,8,245.26391999999998,32e4,no
1.5,no,47.2086,3,0,2,107.76748,299973.1956521739,7,117.98681,247e3,yes
1,no,47.4715,4,0,1.75,160.72219,462353.45,8,163.50928,32e4,no
1,no,47.4877,5,0,2.25,93.83203,369028.14285714284,7,191.38018,255e3,no
1,no,47.7171,3,0,1.75,111.4836,566253.814159292,7,165.36734,438e3,no
2,no,47.6012,3,0,2.5,315.8702,812857.2692307692,10,315.8702,9e5,no
1,no,47.7319,3,0,2.75,158.86413,566253.814159292,7,177.44473,441e3,no
1,no,47.4582,3,0,2,196.02533,599153.8571428572,7,187.66406,42e4,no
1,no,47.7209,3,0,1.75,152.36092,566253.814159292,7,146.78674,37e4,no
1,no,47.408,2,0,1.75,170.01248999999999,321275.95238095237,5,124.49002,269950,no
2,no,47.565,4,0,2.5,271.27676,823864.6043956043,9,248.98004,807100,no
1,no,47.7028,3,0,2.5,230.39944,566253.814159292,8,248.98004,653e3,no
1,no,47.7458,3,0,2,164.43831,383673.5,7,127.27711,371500,no
1,no,47.4776,3,0,1.75,99.40621,458176.52,7,144.92867999999999,284e3,no
1,no,47.3026,3,0,1.75,179.30279,306381.61176470586,7,200.67048,272e3,no
1.5,no,47.7658,3,0,1.5,137.49644,383673.5,7,124.49002,313e3,no
2,no,47.6477,4,0,2.5,347.45722,784243.0384615385,10,360.46364,917500,no
2,no,47.5619,4,0,2.25,209.96078,823864.6043956043,8,240.61877,673e3,no
2,no,47.6106,3,0,2.5,147.71577,616381.3461538461,8,104.05136,425e3,no
1,no,47.5868,5,0,2.75,118.91584,661249.6142857143,7,183.01891,399950,no
1,no,47.6101,3,0,1,111.4836,616381.3461538461,6,113.34166,385e3,no
1,no,47.1976,3,2,1.5,181.16085,299973.1956521739,7,181.16085,269950,no
1,no,47.7224,2,0,1,143.07062,686432.509090909,7,125.41905,33e4,no
2,no,47.3505,3,0,2.5,155.14801,291361.8301886792,7,155.14801,26e4,no
1.5,no,47.5384,4,0,3,130.99323,439572.8846153846,7,221.10914,47e4,no
2,no,47.7044,4,0,3,212.74787,566253.814159292,7,226.68332,589e3,no
2,no,47.3848,2,0,1.5,97.54814999999999,358796.1967213115,7,97.54814999999999,163500,no
2,no,47.6993,4,0,2.75,209.96078,659656.5158730159,9,290.78639,835e3,no
1,no,47.6627,5,2,3,235.97362,784243.0384615385,10,379.97327,1095e3,no
1,no,47.3099,4,0,1.75,203.45757,306381.61176470586,8,138.42547,269e3,no
2,no,47.62,3,0,2.5,188.59309,697143.3921568628,8,176.5157,56e4,no
1.5,no,47.65,4,0,1,123.56099,613701.2131147541,6,123.56099,615e3,no
1,no,47.6647,3,0,2.25,207.17369,659656.5158730159,8,207.17369,585188,no
1,no,47.726,3,0,1.75,143.07062,566253.814159292,7,153.28995,305e3,no
1,no,47.4616,3,0,1,114.27069,381094.8823529412,6,110.55457,166950,no
1,no,47.5505,3,0,2.5,248.98004,1201941.3333333333,8,198.81242,799e3,no
1,no,47.7606,3,0,2.5,176.5157,383673.5,7,202.52854,4e5,no
1,no,47.7481,3,0,1,145.85771,449624.4382022472,7,98.47718,23e4,no
2,no,47.2779,3,0,2.5,236.90265,306381.61176470586,8,157.00607,256883,no
1.5,no,47.5511,4,0,2,139.3545,343002.77142857143,7,183.01891,423e3,no
2,no,47.5488,3,0,2.5,162.58025,439572.8846153846,8,199.74145,465e3,no
2,no,47.5385,3,0,2.5,216.46399,593640.7142857143,7,177.44473,44e4,no
1,no,47.4058,3,0,1.75,144.92867999999999,358796.1967213115,7,125.41905,385e3,no
1,no,47.5093,3,0,1,120.7739,397054.58695652173,6,79.89658,21e4,no
2,no,47.3777,3,0,2.5,188.59309,297059.9894736842,8,180.23182,297e3,no
1,no,47.675,3,0,1,156.07704,550494.7272727273,7,93.83203,47e4,no
1,no,47.3025,3,0,1.5,132.85129,306381.61176470586,7,120.7739,226500,no
1,no,47.4787,3,0,1,130.0642,462353.45,6,84.54173,274250,no
1,no,47.5378,4,0,1.75,257.34131,1201941.3333333333,9,230.39944,84e4,no
2,no,47.7073,3,0,2.5,255.48325,659656.5158730159,8,226.68332,677900,no
1,no,47.5733,3,0,1,119.84487,621633.3561643836,7,93.83203,425e3,no
1,no,47.4604,2,0,0.75,116.12875,458176.52,6,83.6127,180250,no
2,no,47.7067,6,0,3,144.92867999999999,383673.5,7,213.6769,464e3,yes
2,no,47.354,4,0,2.25,151.43189,358796.1967213115,8,143.99965,32e4,no
2,no,47.6647,3,0,2.25,107.76748,878821.4772727273,8,117.98681,625504,no
1,no,47.6143,4,0,2.5,234.11556,697143.3921568628,9,208.10272,592500,no
2,no,47.3185,3,0,2.5,240.61877,260301.53333333333,9,252.138742,465e3,no
2,no,47.5458,4,0,2.75,197.88339,387908.23711340205,8,159.79316,477e3,no
1,no,47.4889,2,0,1,102.1933,239918.6274509804,6,78.96755,28e4,no
1,no,47.5673,5,3,3,356.375908,1201941.3333333333,9,306.5799,1505e3,yes
2,no,47.5133,3,0,2.5,122.63195999999999,369028.14285714284,8,209.03175,445838,no
1,no,47.5884,2,3,2.25,239.68974,661249.6142857143,8,362.3217,1072e3,no
1,no,47.7145,2,0,1.5,196.95436,686432.509090909,8,122.63195999999999,467e3,no
2,no,47.5836,4,0,2.5,285.21220999999997,812857.2692307692,10,256.41228,686e3,no
1,no,47.398,3,0,2,176.5157,321275.95238095237,7,162.58025,279950,no
2,no,47.7663,4,0,2.25,177.44473,503016.125,8,216.46399,527e3,no
1,no,47.3758,3,0,2.25,193.23824,291361.8301886792,8,206.24466,325e3,no
2,no,47.3828,3,0,2.25,187.66406,358796.1967213115,7,187.66406,328e3,no
1,no,47.5123,3,0,2.25,118.91584,369028.14285714284,7,116.12875,39e4,no
1,no,47.7076,2,0,2,152.36092,688772.3037974683,8,140.28353,479950,no
1,no,47.2922,4,0,2.25,140.28353,306381.61176470586,7,159.79316,264950,no
1,no,47.4075,3,0,1,182.08988,294126.1052631579,7,132.85129,235e3,no
2,no,47.6794,3,0,2.5,209.03175,688772.3037974683,7,137.49644,516500,no
2,yes,47.4497,2,4,1.75,188.59309,458176.52,7,134.70935,655e3,yes
1,no,47.5218,4,0,2.75,211.81884,462353.45,7,211.81884,5e5,no
1,no,47.3103,6,0,2.75,196.95436,306381.61176470586,8,273.13482,315e3,no
1,no,47.5687,2,0,1,106.83845,593640.7142857143,6,92.903,213e3,no
1.5,no,47.5575,3,0,1.5,194.16727,343002.77142857143,7,230.39944,475e3,no
2,no,47.6489,5,0,4,318.65729,784243.0384615385,10,349.31528,1025e3,no
1,no,47.3459,3,0,2,192.30921,457073.5238095238,7,206.24466,416e3,no
1.5,no,47.6136,4,0,1,140.28353,616381.3461538461,7,183.01891,41e4,yes
2,no,47.7641,3,0,3.5,271.27676,707649.0384615385,10,355.81849,8e5,no
1,no,47.3376,6,2,2.5,241.5478,292943.45454545453,9,409.70223,472e3,no
1,no,47.3173,3,0,1.75,110.55457,292943.45454545453,7,132.85129,225e3,no
1,no,47.5308,2,0,1,77.10949,439572.8846153846,6,77.10949,21e4,no
1.5,no,47.6727,2,0,1,134.70935,624118.4778761062,7,132.85129,455e3,no
1,no,47.3221,3,0,1,117.05778,240227.44444444444,6,120.7739,225e3,no
1,no,47.6779,2,2,1,129.13517,613701.2131147541,7,95.69009,48e4,no
2,no,47.3076,3,0,2.5,238.76071,306381.61176470586,9,254.55422,363e3,no
1,yes,47.6338,4,4,2.5,289.85735999999997,697143.3921568628,9,339.09595,24e5,no
1,no,47.5218,2,0,1.5,106.83845,322755.4054054054,6,66.89016,181e3,no
1,no,47.2785,4,0,2,186.73503,240227.44444444444,7,186.73503,25e4,no
1,no,47.6846,3,0,1.75,129.13517,613701.2131147541,6,144.92867999999999,481e3,no
1,no,47.3656,3,0,2,162.58025,239252.9411764706,7,168.15443,26e4,no
2,no,47.4369,4,0,2.5,284.28318,381094.8823529412,9,312.15408,455e3,no
2,no,47.4616,3,0,2.25,160.72219,417477.0256410256,8,140.28353,415e3,no
1,no,47.5405,3,0,1,150.50286,387908.23711340205,7,130.0642,349500,no
2,no,47.3507,3,0,2.5,151.43189,291361.8301886792,7,160.72219,245e3,no
1.5,no,47.6979,2,2,2,131.92226,624118.4778761062,7,131.92226,592500,no
1,no,47.5278,4,0,1.75,177.44473,322755.4054054054,7,219.25108,385e3,no
1,no,47.4756,3,0,1.75,143.99965,462353.45,7,146.78674,315e3,no
1,no,47.4437,3,0,1,128.20614,417477.0256410256,7,114.27069,255e3,no
2,no,47.7048,4,0,2.5,277.77997,659656.5158730159,8,228.54138,693e3,no
1.5,no,47.6362,3,0,1,154.21898,1166261.32,8,154.21898,78e4,no
1,no,47.4207,3,0,1.75,148.6448,321275.95238095237,7,117.98681,237e3,no
2,no,47.6154,3,0,2.25,221.10914,697143.3921568628,10,195.09629999999999,525e3,no
1,no,47.5964,2,0,1,123.56099,661249.6142857143,5,71.53531,425e3,no
1,yes,47.4683,1,4,0.75,114.27069,420002.0588235294,5,70.60628,369900,no
2,no,47.4045,4,0,2.5,181.16085,294126.1052631579,7,157.9351,29e4,no
1,no,47.5544,3,0,1,104.98039,322755.4054054054,7,104.05136,285e3,no
1,no,47.6802,2,0,1,122.63195999999999,624118.4778761062,7,99.40621,415e3,no
1,no,47.2988,3,0,2.5,192.30921,306381.61176470586,8,192.30921,272500,no
1.5,no,47.6312,4,2,3.25,361.39267,1406411.111111111,11,469.16015,29e5,yes
2,no,47.7285,4,0,4.75,388.33454,707649.0384615385,11,493.31493,1365e3,no
1,no,47.7107,2,0,1,133.78032,383673.5,7,96.61912,436e3,no
1,no,47.3271,3,0,1,125.41905,292943.45454545453,7,157.9351,21e4,no
1,no,47.5053,3,0,1,122.63195999999999,307446.02040816325,7,120.7739,236e3,no
1,no,47.6601,3,0,1.75,133.78032,791810.5652173914,7,100.33524,331e3,yes
2,no,47.4145,3,0,2.5,246.471659,294126.1052631579,8,246.471659,365e3,no
1,no,47.4672,3,0,2,154.21898,381094.8823529412,8,212.74787,45e4,no
2,no,47.7618,4,0,2.75,172.79958,453101.8181818182,9,354.88946,77e4,no
1,no,47.3828,4,0,2.5,248.05101,358796.1967213115,8,205.31563,455e3,no
1,no,47.5362,3,0,1.75,187.66406,387908.23711340205,6,222.03817,405e3,no
1,no,47.3954,4,0,1.75,159.79316,294126.1052631579,7,241.5478,304900,no
1,no,47.5048,2,0,1,153.28995,307446.02040816325,6,79.89658,17e4,no
2,no,47.6166,5,1,3,283.35415,616381.3461538461,9,355.81849,205e4,yes
2,no,47.6811,4,0,2.5,364.17976,688772.3037974683,9,325.1605,78e4,no
1,no,47.7486,3,0,3,238.76071,453101.8181818182,8,224.82526,33e4,no
2,no,47.3846,4,0,2.5,223.89623,291361.8301886792,9,252.69616,37e4,no
1,no,47.7564,5,0,2.25,213.6769,578818.5185185185,7,232.2575,467e3,no
1,no,47.7198,3,0,1.75,155.14801,566253.814159292,7,155.14801,405e3,no
1,no,47.5461,5,0,2.25,214.60593,823864.6043956043,8,269.4187,675e3,no
1,no,47.5712,2,0,1,141.21256,823864.6043956043,7,152.36092,5e5,no
2,no,47.4281,4,0,2.5,223.89623,458176.52,7,175.58667,389999,no
1,no,47.7128,4,2,1.75,196.95436,566253.814159292,8,274.06385,63e4,no
2,no,47.3341,4,0,2.5,211.81884,260301.53333333333,9,200.67048,36e4,no
2,no,47.5399,4,0,3,215.53496,397054.58695652173,8,304.72184,58e4,no
2,no,47.5717,3,3,2,222.03817,439572.8846153846,8,183.01891,55e4,no
2,no,47.5951,4,0,2.5,292.64445,812857.2692307692,10,312.15408,879e3,no
1,no,47.3536,3,0,2,161.65122,297059.9894736842,7,122.63195999999999,265e3,no
2,no,47.5084,3,0,2.5,222.9672,462353.45,8,246.19295,446500,no
1,no,47.5586,3,0,1.5,198.81242,343002.77142857143,7,188.59309,404e3,no
1,no,47.4427,3,2,1.75,151.43189,262463.7931034483,7,147.71577,267500,no
1,yes,47.6053,4,4,5,422.70865,697143.3921568628,10,422.70865,3075e3,no
2,no,47.3494,3,0,2.5,233.18653,292943.45454545453,8,226.68332,335e3,no
1,no,47.6933,3,0,2.5,203.45757,591939.4716981133,7,180.23182,576e3,no
2,no,47.3537,3,0,2.5,220.18010999999998,358796.1967213115,8,189.52212,208633,no
1,no,47.476,3,0,2.25,135.63838,458176.52,7,204.3866,315e3,no
1,no,47.6239,3,0,1.75,161.65122,1166261.32,8,178.37376,725e3,no
1,no,47.7776,4,0,2.75,167.2254,686432.509090909,8,167.2254,55e4,no
2,no,47.6459,4,0,2.25,209.03175,697143.3921568628,8,202.52854,610750,no
1.5,no,47.6692,2,0,1,135.63838,878821.4772727273,6,93.83203,550700,no
2,no,47.5376,4,0,2.75,252.69616,397054.58695652173,8,308.43796,665e3,no
1.5,no,47.601,4,2,2.5,226.68332,661249.6142857143,8,220.18010999999998,834e3,no
1.5,no,47.529,5,0,1.75,154.21898,567274.9838709678,6,154.21898,201e3,no
2,no,47.6345,5,4,2.5,267.56064,814704.575,10,339.09595,2384e3,no
1,no,47.5503,4,3,3.25,358.60558,823864.6043956043,11,398.55387,1384e3,no
1,no,47.5503,4,3,3.25,358.60558,823864.6043956043,11,398.55387,14e5,no
1,no,47.4441,4,0,2.25,199.74145,381094.8823529412,8,181.16085,305e3,no
1,no,47.7357,3,0,2,145.85771,383673.5,8,240.61877,487e3,no
1,no,47.346,3,0,2.5,218.32205,297059.9894736842,8,179.30279,39e4,no
1,no,47.6638,2,0,1,145.85771,613701.2131147541,7,136.56741,548e3,no
1,no,47.48,4,0,1,121.70293,458176.52,6,74.3224,268750,no
2,no,47.6759,5,0,2.75,144.92867999999999,659656.5158730159,9,292.64445,819900,no
2,no,47.5162,3,0,2.25,247.12198,599153.8571428572,8,188.59309,52e4,no
1,no,47.2639,3,0,2,141.21256,260301.53333333333,7,134.70935,23e4,no
1,no,47.2929,3,0,1.75,140.28353,306381.61176470586,7,140.28353,24e4,no
1,no,47.4957,2,0,1,169.08346,369028.14285714284,6,115.19972,232e3,yes
1,no,47.4957,2,0,1,169.08346,369028.14285714284,6,115.19972,240500,yes
2,no,47.7721,3,0,2.5,286.14124,707649.0384615385,9,281.49609,274975,no
1.5,no,47.644,4,0,2,215.53496,987083.3333333334,9,190.45115,74e4,no
1,no,47.472,3,0,1,106.83845,458176.52,7,92.903,186375,no
